tana_02uk: 266 utterances, 4459 original words, 4479 normalized words
tana_03gm: 400 utterances, 4670 original words, 4690 normalized words
tana_04gk: 406 utterances, 5639 original words, 5661 normalized words
time_01um: 211 utterances, 2165 original words, 2189 normalized words
time_02uk: 250 utterances, 3098 original words, 3164 normalized words
time_03gm: 263 utterances, 3770 original words, 3804 normalized words
time_04gk: 245 utterances, 3279 original words, 3283 normalized words
tinn_01um: 230 utterances, 3299 original words, 3307 normalized words
tinn_03gm: 264 utterances, 3511 original words, 3517 normalized words
tinn_04gk: 243 utterances, 4262 original words, 4272 normalized words
tinn_05um: 255 utterances, 3696 original words, 3696 normalized words
todalen_01um: 228 utterances, 2208 original words, 2218 normalized words
todalen_02uk: 192 utterances, 2034 original words, 2057 normalized words
todalen_03gm: 308 utterances, 3197 original words, 3219 normalized words
todalen_04gk: 399 utterances, 4380 original words, 4414 normalized words
tromsoe_01um: 387 utterances, 5346 original words, 5388 normalized words
tromsoe_02uk: 349 utterances, 4383 original words, 4407 normalized words
tromsoe_03gm: 441 utterances, 7476 original words, 7578 normalized words
tromsoe_04gk: 390 utterances, 5513 original words, 5586 normalized words
trondheim_01um: 245 utterances, 2467 original words, 2495 normalized words
trondheim_02uk: 295 utterances, 3580 original words, 3614 normalized words
trondheim_03gm: 219 utterances, 2904 original words, 2910 normalized words
trondheim_04gk: 193 utterances, 2536 original words, 2552 normalized words
trysil_01um: 266 utterances, 2713 original words, 2727 normalized words
trysil_02uk: 225 utterances, 2275 original words, 2276 normalized words
trysil_03gm: 235 utterances, 4348 original words, 4357 normalized words
trysil_04gk: 220 utterances, 2954 original words, 2956 normalized words
unknown: --skipped--
valle_01um: 236 utterances, 4078 original words, 4092 normalized words
valle_02uk: 226 utterances, 3991 original words, 4003 normalized words
valle_03gm: 202 utterances, 3259 original words, 3264 normalized words
valle_04gk: 217 utterances, 2372 original words, 2379 normalized words
vang_01um: 259 utterances, 3925 original words, 3943 normalized words
